fips,name,state,Number_of_returns,estimated_exams,audit_rate,audit_rate_trunk
51157,"Rappahannock County, Virginia",Virginia,14440.0,113.0,7.825484764542937,7.825484764542937
51159,"Richmond County, Virginia",Virginia,13580.0,107.0,7.87923416789396,7.87923416789396
51161,"Roanoke County, Virginia",Virginia,183240.0,1253.0,6.838026631739795,6.838026631739795
51163,"Rockbridge County, Virginia",Virginia,39760.0,294.0,7.394366197183097,7.394366197183097
51165,"Rockingham County, Virginia",Virginia,144410.0,1014.0,7.021674399279827,7.021674399279827
51167,"Russell County, Virginia",Virginia,40170.0,313.0,7.791884490913618,7.791884490913618
51169,"Scott County, Virginia",Virginia,33060.0,252.0,7.622504537205082,7.622504537205082
51171,"Shenandoah County, Virginia",Virginia,81320.0,588.0,7.230693556320706,7.230693556320706
51173,"Smyth County, Virginia",Virginia,51260.0,406.0,7.920405774483028,7.920405774483028
51175,"Southampton County, Virginia",Virginia,30410.0,230.0,7.5633015455442285,7.5633015455442285
51177,"Spotsylvania County, Virginia",Virginia,238600.0,1698.0,7.116512992455993,7.116512992455993
51179,"Stafford County, Virginia",Virginia,249420.0,1792.0,7.184668430759361,7.184668430759361
51181,"Surry County, Virginia",Virginia,12800.0,97.0,7.578125,7.578125
51183,"Sussex County, Virginia",Virginia,17940.0,146.0,8.138238573021184,8.138238573021184
51185,"Tazewell County, Virginia",Virginia,65250.0,506.0,7.754789272030652,7.754789272030652
51187,"Warren County, Virginia",Virginia,72570.0,522.0,7.193054981397272,7.193054981397272
51191,"Washington County, Virginia",Virginia,90560.0,681.0,7.5198763250883385,7.5198763250883385
51193,"Westmoreland County, Virginia",Virginia,33390.0,253.0,7.577118897873615,7.577118897873615
51195,"Wise County, Virginia",Virginia,55900.0,446.0,7.978533094812166,7.978533094812166
51197,"Wythe County, Virginia",Virginia,50470.0,386.0,7.648107786804043,7.648107786804043
51199,"York County, Virginia",Virginia,125970.0,886.0,7.033420655711678,7.033420655711678
51510,"Alexandria city, Virginia",Virginia,332890.0,2501.0,7.5129922797320425,7.5129922797320425
51520,"Bristol city, Virginia",Virginia,28790.0,233.0,8.093087877735325,8.093087877735325
51530,"Buena Vista city, Virginia",Virginia,11220.0,87.0,7.754010695187166,7.754010695187166
51540,"Charlottesville city, Virginia",Virginia,79920.0,611.0,7.645145145145144,7.645145145145144
51550,"Chesapeake city, Virginia",Virginia,440270.0,3177.0,7.216026529175278,7.216026529175278
51570,"Colonial Heights city, Virginia",Virginia,35890.0,259.0,7.216494845360825,7.216494845360825
51580,"Covington city, Virginia",Virginia,11210.0,80.0,7.136485280999107,7.136485280999107
51590,"Danville city, Virginia",Virginia,73390.0,646.0,8.802289140209838,8.802289140209838
51595,"Emporia city, Virginia",Virginia,10490.0,101.0,9.628217349857007,9.628217349857007
51600,"Fairfax city, Virginia",Virginia,49370.0,366.0,7.413408952805347,7.413408952805347
51610,"Falls Church city, Virginia",Virginia,25320.0,209.0,8.254344391785152,8.254344391785152
51620,"Franklin city, Virginia",Virginia,15450.0,136.0,8.80258899676375,8.80258899676375
51630,"Fredericksburg city, Virginia",Virginia,49970.0,380.0,7.604562737642587,7.604562737642587
51640,"Galax city, Virginia",Virginia,11910.0,99.0,8.312342569269521,8.312342569269521
51650,"Hampton city, Virginia",Virginia,261410.0,1984.0,7.589610190887877,7.589610190887877
51660,"Harrisonburg city, Virginia",Virginia,69120.0,524.0,7.581018518518517,7.581018518518517
